username,userid,profile_location,created_at,text,retweet_count,source,coordinates
A.K.F.,14270447,Bronx,2023-01-14 22:11:37,Traditional herbal remedies do often have a core of legitimacy/efficacy that may be studied or form the basis of re… https://t.co/p8wlTxPA8F,0,Twitter Web App,
CORNPOP’S REVENGE ⚔️,37726759,"Bronx, NY",2023-01-14 22:06:58,To think Gunplay isn’t a top level rapper and have him reduced to “drug addict” is wild in and of itself. https://t.co/dv8yaoj3UZ,0,Twitter for iPhone,
West Side Community Organization,1295458281381601281,"Upper West Side, Manhattan",2023-01-14 21:46:05,"@PhoenixNYCEO @RezaC1 @nycpa Handing someone the syringes, tourniquets and mirrors to inject themselves is a drug i… https://t.co/fIDF2fKNW9",2,Twitter for iPhone,
Him Jones.,1004900132339507201,"Bronx, NY",2023-01-14 20:00:18,@IcyHill @Symelo2k Hey man don’t blame me for his drug abuse now,0,Twitter for iPhone,
Todd Strassberg,53652247,"Fort Lee, NJ",2023-01-14 18:07:24,"@Cokedupoptions @elonmusk @Tesla Ita called the Least Educated Consumer Law.
Ya know... the reason every drug comme… https://t.co/aNiYYfqLtA",0,Twitter for Android,
SonOfChar0079,2318579248,"Bronx, New York",2023-01-14 17:59:29,Having shitty parenting skills can sometimes lead a child to grow up too be an even shittier adult IRL with an shit… https://t.co/PGijaxtAga,0,Twitter for Android,
James T,108130485,"Jersey City, New Jersey",2023-01-14 16:40:23,The Moyesaurus drug as down to rock bottom #moyesout,0,Twitter for Android,
Nancy Joyce Dora Milaje Evangelist,19446454,"Bronx, NY",2023-01-14 15:37:53,"https://t.co/6oS61ZdAxP: The meat industry’s antibiotic drug problem, explained.
https://t.co/lOLS72b1mx",0,Twitter for Android,
American.one,1014384984398823429,Trump Tower,2023-01-14 15:28:37,"@noir_mvp @LeadZombii @Allen11Rich @DonutOperator @davenewworld_2 Looks like he overdosed himself

U see him gettin… https://t.co/MVji1zy2fq",0,Twitter Web App,
Bennie4rmWestSide,3297955661,"Bronx, NY",2023-01-14 15:21:02,I feel fucked up for kicking the girl I love out and her then telling me she’s pregnant but this the same bitch who… https://t.co/xWJHWm5hKj,0,Twitter for iPhone,
W-2 WYA?,418947476,"Bronx, NY",2023-01-14 14:44:00,@C2thaL2thaIGG Yea my homegirl keep bragging bout getting her fixing like shit a drug or something,0,Twitter for iPhone,
Scott Carville,1327799364312567808,"Bronx, NY",2023-01-14 13:39:03,@DavidPNoble63 @ABridgen Good scientist would've Looked closely at the data before administering a drug  to the world,0,Twitter for Android,
rachelgarcia.art,113406707,"Bronx, NY",2023-01-14 11:07:18,Lori Harvey is one hell of a drug. You’re being greedy now…,0,Twitter for iPhone,
Adult Josh,468841721,"Bronx, NY",2023-01-14 10:48:44,"You can do crack, meth, coke Shiiiet any drug on here but soon as you mention you drinking soda at 5am, that’s wher… https://t.co/dKC97okmCe",0,Twitter for iPhone,
American.one,1014384984398823429,Trump Tower,2023-01-14 06:22:03,"@WADeptHealth this is like giving cocaine to a drug addict

and call it helping",0,Twitter Web App,
Orlando V,1361315222057848833,Bronx NY ,2023-01-14 03:55:39,"@DovySimuMMA Drug Addict,Woman Abuser, Law Breaker, Need I go ON No one in the Realm of the Norm Cares about what t… https://t.co/BSooLdyqXc",0,Twitter Web App,
John Joseph,123266709,nyc,2023-01-14 03:44:12,@Maroczy_Bind It’s the name of a drug company that lies all the time and pays billions in fines for fraud,0,Twitter for iPhone,
Ace,40714119,Bronx New York,2023-01-14 03:26:41,Why do all oldhead drug dealers think they are philosophers?,0,Twitter for iPhone,
Stop the 🧢,4769388015,"Bronx, NY",2023-01-14 03:25:50,"Your drug of choice is fentanyl🤔🤔🤔
#loveafterlockup https://t.co/4eGDyHEGEp",4,Twitter for Android,
Miss T,26331025,"The Bronx, New York",2023-01-14 02:51:32,Meek Mill pardoned by Pennsylvania gov over gun and drug charges https://t.co/adK7lCYKXa,0,Twitter for Android,
Dorica ⭐️,1098620372184981505,"Columbus, OH",2023-01-14 01:01:16,I NEED TO PERFORM! THIS SHIT DEADASS A DRUG 💯,0,Twitter for iPhone,
The Zen Realtor 🙏 🇾🇪,3165959862,"Bronx, NY",2023-01-13 23:53:12,"@jellyfishwax1 @TweetBenMax it's crazy!  a few months ago i made a left turn on my own block and boom, $180!  it ne… https://t.co/QKO6uxa1Gl",0,Twitter for Android,
dwake,2862801449,"Bronx, NY",2023-01-13 22:20:05,@ScottFishman @AP Yeah 50 something year olds NEVER die of heart problems. Especially not the ones with histories of drug abuse.,0,Twitter for iPhone,
FromTheGMan,1328724724394979329,"Harlem, New York",2023-01-13 21:17:40,Developing News: The Drug 50x Stronger Than Heroin https://t.co/CQHR4pYEgy,0,Jetpack.com,
James,2601339795,"Westchester, NY",2023-01-13 20:18:11,@Hxlo1x @Oso__Gifted @JayCartere @BlackDolltm @maylynne_ After they said “A therapist with a masters degree can pre… https://t.co/TJxoI9OSv8,0,Twitter for iPhone,
Jon Jack (Solkuro) 🎮,80920904,"Bronx, NY",2023-01-13 18:33:41,"@FightingGM GM the international drug lord lol 😂
Shit is too crazy.",0,Twitter for iPhone,
那個人,1070622134685249536,Uptown,2023-01-13 18:17:55,@the3els @jakeshieldsajj You misspelled drug overdose,0,Twitter for Android,
Her,4872898073,south bronx,2023-01-13 18:15:01,definitely going to talk about “marijuana is the gateway drug to worse drugs” discussion because not acknowledging… https://t.co/0tW3RqZdNn,0,Twitter for iPhone,
SammyWavy,286366313,Bronx ,2023-01-13 16:19:38,Music is like a drug to me,0,Twitter for iPhone,
Hood Favorite 🗽,1182374534172893191,"CrownHeights, BK/Westbury, LI",2023-01-13 16:11:43,"@_t_d____d Attention a hell of a drug, everyone thought they was neighborhood LMFAOOO",0,Twitter for iPhone,
Malik,1479495767366803458,"Bronx, NY",2023-01-13 15:48:08,@GeorgeHermanRu4 @AngelaBelcamino Elvis died because he was ahead of his time. He followed to 2023 Liberal Lifestyl… https://t.co/MEmOuzQux1,0,Twitter for iPhone,
Petty Davis,94880895,Rockefeller Center,2023-01-13 15:40:15,@GroyperPhire @Danger2Carlos @KEEMSTAR Strange that a Scientologist with a drug and alcohol problem died of cardiac… https://t.co/VAT7wFI4FZ,0,Twitter for iPhone,
R.Mo,1264022096591507456,"Bronx, NY",2023-01-13 13:44:00,@orchidstogo @thesherylralph Also take into consideration the threat to the public and himself. He was running in t… https://t.co/ZcxU2FeGDc,0,Twitter for Android,
Julian Silverman,2623241758,New York,2023-01-13 13:06:33,Excited to include this development in my tox course this semester: students are always very interested to learn ab… https://t.co/woxaZjKjsG,0,Twitter for iPhone,
Michael Ottey,21979877,Los Angeles,2023-01-13 12:50:49,"If you’re in #NewYork you will spot a Duane Reade. Like Starbucks, they’re everywhere. The drug store founders name… https://t.co/pwyQpkCfho",3,Twitter for iPad,
Chadford,1257351853039333380,"Bronx, NY",2023-01-13 09:05:24,I think i follow a drug addict,1,Twitter for iPhone,
Oscar Israel Rodriguez 🇩🇴,76044869,"Bronx, NY",2023-01-13 05:43:28,"America is so corrupt we all under police investigation, from our local drug dealer all the way up to the President of the United States 😅",0,Twitter for iPhone,
Otis,1514033528949907458,"Bronx, NY",2023-01-13 03:23:29,@NBCNews Stop with the vax BS if you seen her at the golden globes you can clearly see drug use and her genetics do… https://t.co/8aHAOynYaD,0,Twitter for iPhone,
CFR,2819631618,"Bronx, NY",2023-01-13 03:03:24,@SoCalSister22 @AP Cocaine is hell of a drug…add opioid and alcohol. Heart can only do so much :),0,Twitter for iPhone,
Peter Vox,3327468268,"Bronx, NY",2023-01-13 02:33:10,"@Dario2rnr @janet420 Exactly.  The news won't mention that. I know she's had drug problems,  so I feel it was drug or jab related.",0,Twitter for Android,
Ç,1457509161936244742,"Bronx, NY",2023-01-13 02:03:40,@ScrubbyCuber @Apostolusvacui @cc_shadow @DiscussingFilm Whatever man drug induced heart attack same thing,0,Twitter for iPhone,
Astrid M. Aune,271036442,"Astoria, Queens",2023-01-13 00:21:00,@jessicaramos shouts out AM Aubry’s legacy and shares that this part of Queens now has a legacy of reforming regres… https://t.co/yIXIw6u6CG,2,Twitter for iPhone,
Astrid M. Aune,271036442,"Astoria, Queens",2023-01-13 00:12:08,"The #TNJTownHall is being held at @Elmcor, which generously donated their space. Assemblymember @AubryforNY was the… https://t.co/ppXGbNwqsy",1,Twitter for iPhone,
CNBC,20402945,"Englewood Cliffs, NJ",2023-01-12 23:40:00,Gilead CEO Daniel O’Day breaks down the company's new twice-a-year HIV drug. Watch the full video:… https://t.co/ZrM2J5JGK9,1,Twitter Media Studio,
mansion teele,67629640,Harlem - New York City,2023-01-12 22:32:45,"It's so many people dying from drug overdoses, BBL complications and domestic violence.",4,Twitter Web App,
DarkandLovely 🇺🇸🇺🇸,1330368017847513094,"Bronx, NY",2023-01-12 22:01:44,@nikosakii @nodoenovote @layxsnv Just like there are plenty of Black Americans doing well. I’m triggered because yo… https://t.co/iyxTRDWn4C,0,Twitter for iPhone,
Zak! Failla,764108504999297025,"Westchester, NY",2023-01-12 21:20:01,Spotsylvania Sheriff Roger Harris said that a drug and heroin dealer #wanted in various jurisdictions is off the st… https://t.co/cVjLMu8nHE,0,Twitter Web App,
Black Migo,1327138045351649280,Uptown USA,2023-01-12 18:59:34,@TheRedDeadPhoto @RockstarGames Make it a real Drug War  WE ONLINE FOR CRYING OUT LOUD,0,Twitter for iPhone,
🇺🇦 Steven Walk,3714666976,Herald Square (Manhattan),2023-01-12 18:26:06,Does anyone know what percentage of  homeless Americans have had opportunities/resources to be housed and turned th… https://t.co/2mybwLVlQY,0,Twitter for iPhone,
Rich (NYC era),28979807,"New York, NY",2023-01-12 18:11:04,guide to drug combinations https://t.co/LtjzM9wyD4,0,Twitter for iPhone,
Patrick,1228102451666006016,"DA BRONX, NEW YORK",2023-01-12 17:59:18,So the New Communist GQP are bringing Hunter Biden up on Charges of Lying About Drug Use on a Federal Form but GEOR… https://t.co/zzVf7PhWYc,0,Twitter for Android,
Brutus Gorum,65075288,"Bronx, New York",2023-01-12 17:41:49,"@TheKnicksRecap @goodkidburncity Never Recap like telling a gambler, drug-addict, or drunk to stop lol the Machine is my vice...",0,Twitter for Android,
Stop Abuse Campaign,140997419,"Bronx, New York",2023-01-12 17:00:08,"How can we prevent America's chronic drug abuse problem?

https://t.co/p45UIZUtFY

#DrugAbuse #DrugAbuseAwareness… https://t.co/E9JbSA5wqf",1,Semrush Social Media Tool,
CNBC,20402945,"Englewood Cliffs, NJ",2023-01-12 16:42:00,Gilead CEO Daniel O’Day breaks down the company's new twice-a-year HIV drug. Watch the full video:… https://t.co/DKK5Cr2dq4,6,Twitter Media Studio,
Wildflower,1494021649515044866,"Bronx, NY",2023-01-12 14:58:51,lord pls keep these drug dealers away from me amen 🙏,0,Twitter for iPhone,
J Mont,1399928090697084930,"BRONX, NY",2023-01-12 14:46:34,@DiOGeeJC @lonewolfsamuel @austinramsey152 Someone drug test this guy. https://t.co/tkQp0DcjUt,1,Twitter for iPhone,
Tina Mitchell,1467745465370300420,"Bronx, NY",2023-01-12 14:20:26,"I have enemy, do to a drug war ,   Stacy asked for .",0,Twitter for Android,
^Golden Era^,548107144,"East Harlem, New York",2023-01-12 13:25:08,Attention is a drug,0,Twitter for iPhone,
🏄🏾‍♂️,2578815366,"Bronx, NY",2023-01-12 12:50:57,Just Blaze should be drug tested for this because it isn’t fair https://t.co/1xdUstRMn9 https://t.co/aIVo0wwx3t,0,Twitter for iPhone,
NARDS🕸,1006980618788458497,"Bronx, NY",2023-01-12 06:16:50,When I’m drunk I be tipping the bottle girls and bartender like I’m a drug dealer 😂,0,Twitter for iPhone,
Robert Lax,287982183,"New York City, Rio de Janeiro",2023-01-12 05:26:30,"@cafreiman When you realize that some conceptions of liberty are more about utilitarianism than morality.

""I don't… https://t.co/yo15Vj3oIM",1,Twitter Web App,
Young Gohan,900903542,"Bronx, New York",2023-01-12 03:58:13,"Ya need to give it up. He in shape, drug free and he got his teeth fixed lmaooo that’s the difference. STOP DOING D… https://t.co/EgeXWoLzFg",0,Twitter for iPhone,
〰️❕L🦂,1357913221898862592,,2023-01-11 23:49:23,#ElDeBarge Arrested for Weapon and Drug Possession https://t.co/awiOURtCK4 via @TMZ,0,Twitter for iPhone,
The Zen Realtor 🙏 🇾🇪,3165959862,"Bronx, NY",2023-01-11 22:52:04,"@SandyforCouncil if the condition is bringing them up to code, then we're not actually getting any new units lol

t… https://t.co/mtbE8HN92N",0,Twitter for Android,
Multipolar World Views,1595911149014458368,"Bronx, NY",2023-01-11 22:46:31,@ToryFibs Who writes this sh*+?? We should ship all the drug addicts directly the the author of this posts home. Yo… https://t.co/tF5F8qyIUZ,0,Twitter for iPhone,
Naima Cochrane,78417631,Uptown,2023-01-11 22:06:53,"Arrested again.
Weapon and drug possession. https://t.co/pf6GlA5RJn",1,Twitter for iPhone,
fotzepolitic,332319997,bk nyc she/they 22,2023-01-11 20:07:40,between u and me do u think they would drug test me if i worked for the department of health,0,Twitter for iPhone,
Maxwell “Swell” Haddad 🧡💙,375945451,"Brooklyn, NY",2023-01-11 19:45:20,Groupthink is a helluva drug. One person with clout or a large platform says something and thousands of people fall… https://t.co/DfCWtxX80f,0,Twitter for iPhone,
Concerned Citizens of Chelsea,1509990403155582980,"Chelsea, NYC",2023-01-11 17:56:48,@NYCMayor Let's get cameras at 21st &amp; 8th to shut down the open air drug market and any businesses collaborating wi… https://t.co/CLdMgnYxK8,0,Twitter Web App,
benzo-baby,1566791213935722498,"Bronx, NY",2023-01-11 16:32:30,@outherewhynot Nah but imma make sure they get therapy and drug therapy at the first sign I see. I want my kids to… https://t.co/VVOHKlzoWV,0,Twitter for Android,
YP aka Young Paul,482639571,"Bronx, NY",2023-01-11 15:51:43,"@C4Crotona @CephasMusic @alcottmusic @jeredsanders @QFlo_Music215 Gang said… 

Around the outlines of chalk where t… https://t.co/bnbPrjIoHw",0,Twitter for iPhone,
TMLeigh,1437115811030835212,"Westchester, NY",2023-01-11 12:41:14,@GovRonDeSantis Take the drug dealer proceeds.,0,Twitter for iPhone,
"Cara Harbstreet, RD",1195715646,Kansas City,2023-01-11 04:27:37,@RobertaAnding @type1christine @DiabetesSocMed To suggest we should consider using a novel drug with unknown long t… https://t.co/zXlsKr4OWO,0,Twitter for iPhone,
Dr. Johnny,77120338,NYC,2023-01-11 04:02:07,@maggiecg12 Nice of you to crop out the drug addicts/homeless people sleeping on that stoop,0,Twitter for iPhone,
CreativityOverdrive,1193333710088757249,"Bronx, NY",2023-01-11 00:33:17,the mascot that had initially scared the kid returns with some candy for the kid. The games and food from before ea… https://t.co/bWEaPhmIsa,0,Twitter for iPhone,
Sam E. Antar,17893558,"New York, NY",2023-01-10 18:49:50,"I’m very sorry for your loss. As a parent who lost his youngest son to drug abuse, I understand your pain. Unfortun… https://t.co/WdGFQHDERx",4,Twitter for iPhone,
🎯UniqueGemz🧸,1592952646297681923,"Bronx, NY",2023-01-10 17:55:25,@The_ZeusNetwork this company/brand is way too toxic for viewing. People getting bust up side the head with bottles… https://t.co/0NR4sWKyyt,0,Twitter for Android,
DaWhiteBrotha,16217315,"Harlem, NY",2023-01-10 17:04:30,@cedric_alpha How do you know he is drug addicted?,0,Twitter for Android,
Michael Beltzer,3374048573,"Bronx, NY",2023-01-10 15:18:50,hello your friendly reminder that any enforcement personnel you know or have met has been around or involved in ass… https://t.co/sYxpa3J2J8,0,Twitter Web App,
Sochima Isioma Ochije,1269985902073458688,"Bronx, NY",2023-01-10 13:42:53,The Food and Drug Administration (FDA) on Friday  1/6/2023 approved Lecanemab (Leqembi) for the treatment of Alzhei… https://t.co/izHv5PKpVY,0,Twitter for iPhone,
🥑,73913764,"Bronx, NY",2023-01-10 13:22:50,Why Chinese ppl don’t invent their own medicine? They hate USA a lot why they craving for Paxlovid. Eat your Sinova… https://t.co/eVGa8eDa3l,0,Twitter for iPhone,
